author,description,genre,rating,title,total_rating
Lizzie Shane,"<span class=""Formatted""><b>Struggling to find her modern-day Mr. Darcy, a Jane Austen fan gets more than she bargained for when she swears off men and adopts an adorable puppy. </b><br><br>Dr. Charlotte Rodriguez is single—again—and she blames Jane Austen. She made brooding, aloof men sound <i>oh so</i><i>dreamy</i>. But after years of failing to find her own Mr. Darcy, Charlotte decides it’s time to swear off dating. She’s going to lavish all her love and affection on someone who actually deserves it: her new puppy, Bingley.<br><br>And there’s no one better to give her pet advice than her neighbor and coworker George Leneghan. He’s quiet and patient and, best of all, way too sweet to ever be her type. But as their friendly banter turns flirty, the unimaginable happens—Charlotte starts catching <i>feelings.</i><br><br>Just as Charlotte is trying to untangle what it is she truly wants, George announces he’s contemplating a cross-country move. Suddenly, Charlotte wonders if she’s kept her soulmate in the friend zone so long that she’s entirely missed her chance at a happily ever after. Dear Reader, could it be possible she’s had it wrong all this time?<br> </span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary-romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/chick-lit"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Chick Lit</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/retellings"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Retellings</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.71</div>",Pride & Puppies,"<span data-testid=""ratingsCount"" aria-hidden=""true"">301<!-- --> <!-- -->ratings</span>"
Pepper D. Basham,"<span class=""Formatted""><b>“Dear Izzy—I feel certain there’s a book-loving man living relatively nearby waiting to speak bookish to you ’til death do you part. You just haven’t met yet.” </b><br><br>Izzy Edgewood is a wannabe bookstore owner, quote queen, and Lord of the Rings nerd who has been waiting for Prince Charming to sweep her off her sneakered feet. But it’s hard to meet people when you spend more time with fictional humans than real ones. Which is why her pragmatist cousin Josephine decides to take Izzy’s future into her own meddling hands and create an online dating profile for the hopeful romantic.<br><br>To Izzy’s shock (and suspicion), Josie’s plan works. Soon, she’s dialoguing with a Hobbit-loving man named Brodie who lives in a small town an ocean away from her home in the Blue Ridge Mountains. But is their shared love of books, family, and correspondence enough to overcome Izzy’s fear of flying and the literal distance between them? And is a long-distance relationship even worth considering when a local author has been frequenting the library where she works and is proving to be a perfectly fine gentleman?<br><br>In this epistolary novel from award-winning author Pepper Basham, bookish dreams and happily-ever-afters collide to create a beautiful sort of magic that’s even better than fiction.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/christian-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Christian Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary-romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/chick-lit"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Chick Lit</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.89</div>",Authentically Izzy,"<span data-testid=""ratingsCount"" aria-hidden=""true"">436<!-- --> <!-- -->ratings</span>"
Nikki Payne,"<span class=""Formatted""><b>A woman goes head-to-head with the CEO of a corporation threatening to destroy her neighborhood in this fresh and modern retelling of <i>Pride and Prejudice</i> by debut author Nikki Payne.</b><br><br>Liza B.--the only DJ who gives a jam--wants to take her neighborhood back from the soulless property developer dropping unaffordable condos on every street corner in DC. But her planned protest at a corporate event takes a turn after she mistakes the smoldering-hot CEO for the waitstaff. When they go toe-to-toe, the sparks fly--but her impossible-to-ignore family thwarts her every move. Liza wants Dorsey Fitzgerald out of her hood, but she'll settle for getting him out of her head.<br><br>At first, Dorsey writes off Liza Bennett as more interested in <i>performing</i> outrage than acting on it. As the adopted Filipino son of a wealthy white family, he's always felt a bit out of place and knows a fraud when he sees one. But when Liza's protest results in a viral meme, their lives are turned upside down, and Dorsey comes to realize this irresistible revolutionary is the most real woman he's ever met.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/retellings"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Retellings</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary-romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/chick-lit"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Chick Lit</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.00</div>",Pride and Protest,"<span data-testid=""ratingsCount"" aria-hidden=""true"">202<!-- --> <!-- -->ratings</span>"
Lindsey Kelk,"<span class=""Formatted"">Newly single lawyer Gwen Baker is hoping that a family Christmas—countryside, a mountain of food and festive films—will salve the sting of her career hanging by a thread and her heart being trampled on. Because everyone else has their life sorted: even Dev, her boy-next-door crush, is now a tall, dark and handsome stranger with a fiancée. She can’t help wishing her future was clearer.<br><br>Then Gwen wakes up to discover it’s Christmas day all over again. Like Groundhog Day but with eggnog. And family arguments. On repeat.<br><br>As she figures out how to escape her own particular Christmas hell, Dev is the one bright spot. He might be all grown-up but underneath he’s just as kind and funny as she remembers.<br><br>Maybe, just maybe, her heart can be mended after all.<br><br>But how do you fall in love with someone who can’t remember you from one day to the next?</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/christmas"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Christmas</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/holiday"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Holiday</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary-romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.15</div>",The Christmas Wish,"<span data-testid=""ratingsCount"" aria-hidden=""true"">925<!-- --> <!-- -->ratings</span>"
Alexa  Martin,"<span class=""Formatted""><b>Love isn't always by the books in this charming romantic comedy about a bookseller discovering how to be the main character in her story. </b><br><br>As a self-proclaimed book hater and a firm believer that the movie is always better, Drew Young didn't anticipate inheriting her grandma's bookstore, the Book Nook. She's in way over her head even before the shop's resident book club, comprising seven of the naughtiest old ladies ever, begin to do what they do best--meddle.<br><br>Bestselling author Jasper Williams is a hopeless romantic. When he meets Drew at his Book Nook signing event, he becomes determined to show her the beauty of reading. He curates a book bucket list in exchange for her help exploring the local Denver scene for his current manuscript. From river rafting to local restaurants, Drew begins to connect with Jasper in a way she only thought happened in fiction.<br><br>When messy family ties jeopardize the future of the Book Nook, Drew is caught between a bookshelf and a hard place. She's reminded that real life isn't always big dreams and sweeping romance. But Jasper is the plot twist she never saw coming and he's writing a happily ever after just for them.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/books-about-books"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Books About Books</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary-romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/chick-lit"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Chick Lit</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.62</div>",Better than Fiction,"<span data-testid=""ratingsCount"" aria-hidden=""true"">825<!-- --> <!-- -->ratings</span>"
Allison Winn Scotch,"<span class=""Formatted""><b>Two exes wake up together with wedding bands on their fingers--and no idea how they got there. They have just one New Year's Eve at the end of 1999 to figure it out in this big-hearted and nostalgic rom-com from <i>New York Times</i> bestselling author Allison Winn Scotch.</b><br><br>When college sweethearts Frankie and Ezra broke up before graduation<b>, </b> they vowed to never speak to each other again. Ten years later, on the eve of the new millennium, they find themselves back on their snowy, picturesque New England campus together for the first time for the wedding of mutual friends. Frankie's on the rise as a music manager for the hottest bands of the late '90s, and Ezra's ready to propose to his girlfriend after the wedding. Everything is going to plan--they just have to avoid the chasm of emotions brought up when they inevitably come face to face.<br><br>But when they wake up in bed next to each other the following morning with Ezra's grandmother's diamond on Frankie's finger, they have zero memory of how they got there--or about any of the events that transpired the night before. Now Frankie and Ezra have to put aside old grievances in order to figure out what happened, what <i>didn't</i> happen...and to ask themselves the most troubling question of all: what if they both got it wrong the first time around?</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/christmas"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Christmas</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/chick-lit"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Chick Lit</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.39</div>",The Rewind,"<span data-testid=""ratingsCount"" aria-hidden=""true"">1,734<!-- --> <!-- -->ratings</span>"
Olivia Dade,"<span class=""Formatted""><b>After All the Feels and Spoiler Alert, Olivia Dade once again delivers a warm and wonderful romantic comedy about two co-stars who once had an incredible one-night stand—and after years of filming on the same remote island, are finally ready to yield to temptation again…</b><br><br>Maria’s one-night-stand—the thick-thighed, sexy Viking of a man she left without a word or a note—just reappeared. Apparently, Peter’s her surly Gods of the Gates co-star, and they’re about to spend the next six years filming on a desolate Irish island together. She still wants him…but he now wants nothing to do with her.<br><br>Peter knows this role could finally transform him from a forgettable character actor into a leading man. He also knows a failed relationship with Maria could poison the set, and he won’t sabotage his career for a woman who’s already walked away from him once. Given time, maybe they can be cooperative colleagues or friends—possibly even best friends—but not lovers again. No matter how much he aches for her.<br><br>For years, they don’t touch off-camera. But on their last night of filming, their mutual restraint finally shatters, and all their pent-up desire explodes into renewed passion. Too bad they still don’t have a future together, since Peter’s going back to Hollywood, while Maria’s returning to her native Sweden. She thinks she needs more than he can give her, but he’s determined to change her mind, and he’s spent the last six years waiting. Watching. Wanting.<br><br>His shipwrecked Swede doesn’t stand a chance.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary-romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/chick-lit"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Chick Lit</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult Fiction</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.94</div>",Ship Wrecked,"<span data-testid=""ratingsCount"" aria-hidden=""true"">2,169<!-- --> <!-- -->ratings</span>"
,,,,,
,,,,,
,,,,,
J.R.R. Tolkien,"<span class=""Formatted"">Begin your journey into Middle-earth.<br><br>The inspiration for the upcoming original series on Prime Video, The Lord of the Rings: The Rings of Power.<br><br>The Return of the King is the third part of J.R.R. Tolkien’s epic adventure The Lord of the Rings.<br><br>One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.<br><br>The Dark Lord has risen, and as he unleashes hordes of Orcs to conquer all Middle-earth, Frodo and Sam struggle deep into his realm in Mordor.<br><br>To defeat Sauron, the One Ring must be destroyed in the fires of Mount Doom. But the way is impossibly hard, and Frodo is weakening. The Ring corrupts all who bear it and Frodo’s time is running out.<br><br>Will Sam and Frodo succeed, or will the Dark Lord rule Middle-earth once more?</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/high-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">High Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/epic-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Epic Fantasy</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.55</div>",The Return of the King,"<span data-testid=""ratingsCount"" aria-hidden=""true"">800,003<!-- --> <!-- -->ratings</span>"
J.R.R. Tolkien,"<span class=""Formatted"">Begin your journey into Middle-earth.<br><br>The inspiration for the upcoming original series on Prime Video, The Lord of the Rings: The Rings of Power.<br><br>The Two Towers is the second part of J.R.R. Tolkien’s epic adventure The Lord of the Rings.<br><br>One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.<br><br>Frodo and his Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in a battle in the Mines of Moria. And Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape, the rest of the company was attacked by Orcs. Now they continue the journey alone down the great River Anduin—alone, that is, save for the mysterious creeping figure that follows wherever they go.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/high-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">High Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/epic-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Epic Fantasy</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.47</div>",The Two Towers,"<span data-testid=""ratingsCount"" aria-hidden=""true"">855,150<!-- --> <!-- -->ratings</span>"
Patrick Rothfuss,"<span class=""Formatted"">Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen. <br><br>The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature. <br><br>A high-action story written with a poet's hand, <i>The Name of the Wind</i> is a masterpiece that will transport readers into the body and mind of a wizard.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/epic-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Epic Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/high-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">High Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/magic"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Magic</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.52</div>",The Name of the Wind,"<span data-testid=""ratingsCount"" aria-hidden=""true"">860,768<!-- --> <!-- -->ratings</span>"
George R.R. Martin,"<span class=""Formatted"">A comet the color of blood and flame cuts across the sky. Two great leaders—Lord Eddard Stark and Robert Baratheon—who hold sway over an age of enforced peace are dead, victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns. Six factions struggle for control of a divided land and the Iron Throne of the Seven Kingdoms, preparing to stake their claims through tempest, turmoil, and war. <br><br>It is a tale in which brother plots against brother and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside. Against a backdrop of incest and fratricide, alchemy and murder, victory may go to the men and women possessed of the coldest steel...and the coldest hearts. For when kings clash, the whole land trembles.<br><br>Here is the second volume in George R.R. Martin magnificent cycle of novels that includes <i>A Game of Thrones</i> and <i>A Storm of Swords</i>. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R.R. Martin stunning series is destined to stand as one of the great achievements of imaginative fiction.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/epic-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Epic Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/high-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">High Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.41</div>",A Clash of Kings,"<span data-testid=""ratingsCount"" aria-hidden=""true"">869,555<!-- --> <!-- -->ratings</span>"
,,,,,
